osm_way_id,centroid_lat,centroid_lng,bbox_area,levels,height,geocode_type,geocode_class,road,suburb,city,country,collected_at
499328478,51.09711610714286,71.40747275714286,1.3074869499995727e-06,8.0,24.0,apartments,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328479,51.09648877777778,71.40666551111111,7.001245900091363e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328480,51.095622575,71.40632789166666,6.728413399956232e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328481,51.09485338461539,71.40599553076923,6.608190799913262e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328482,51.09623086363637,71.40764085454545,4.362677800036885e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328483,51.095485311111105,71.40732562222223,4.22766540004185e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328484,51.09466264545454,71.40707614545454,4.290709499959283e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328485,51.09606033333333,71.4098327,6.575830300003034e-07,9.0,27.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328486,51.09515935384616,71.40951534615384,6.668831599999e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328487,51.094455463636365,71.40918029090909,7.221763600004667e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328500,51.09386796,71.40619606,1.1038372000139997e-07,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
